var_type,format,voice_type_main,voice_type_desc,voice,giovani,famiglie_bassa,famiglie_media,famiglie_alta,pensionati_bassa,pensionati_media
numero_operazioni,online,total,total,Totale,164,201,228,253,124,189
isc,online,base,base,Canone,24,0,0,0,48,24
isc,online,base,base,Nowbanking Privati,0,0,0,0,0,0
isc,online,operativita_corrente,gestione della liquidità,Richiesta elenco movimento allo sportello,0,0,0,0,0,0
isc,online,operativita_corrente,gestione della liquidità,Richiesta elenco movimento online,5.12,3.84,4.16,6.56,1.6,4
isc,online,operativita_corrente,gestione della liquidità,Prelievo contante sportello > 500 €,0,0,0,0,0,0
isc,online,operativita_corrente,gestione della liquidità,Versamento in contante e assegni,0,0,0,0,0,0
isc,online,operativita_corrente,gestione della liquidità,Comunicazione Trasparenza,0,0,0,0,0,0
isc,online,operativita_corrente,gestione della liquidità,Invio estratto conto,0,0,0,0,0,0
isc,online,servizi_pagamento,carta di debito,Canone carta di debito,0,0,0,0,0,0
isc,online,servizi_pagamento,carta di debito,Prelievo presso ATM banca del gruppo,0,0,0,0,0,0
isc,online,servizi_pagamento,carta di debito,Prelievo presso ATM altra banca,0,0,0,0,0,0
isc,online,servizi_pagamento,carta di debito,Prelievo presso ATM altri Paesi UE,0,0,0,0,0,0
isc,online,servizi_pagamento,operazioni pagamento con carta debito,Operazioni,0,0,0,0,0,0
isc,online,servizi_pagamento,carta di credito,Carta di credito,0,0,30.99,30.99,0,30.99
isc,online,servizi_pagamento,carta di credito,invio estratto conto,0,0,0,0,0,0
isc,online,servizi_pagamento,carta prepagata,Carta Prepagata,6,0,0,0,0,0
isc,online,servizi_pagamento,carta prepagata,Ricarica carta pregata,2.5,0,0,0,0,0
isc,online,servizi_pagamento,"assegni, utenze, imposte",Pagamenti con assegni,0.7,2.45,3.15,3.85,1.75,3.5
isc,online,servizi_pagamento,"assegni, utenze, imposte",Domiciliazione utenze,0,0,0,0,0,0
isc,online,servizi_pagamento,"assegni, utenze, imposte",Pagamenti tasse ed imposte,0,0,0,0,0,0
isc,online,servizi_pagamento,pagamenti ricorrenti,Rata mutuo - addebito in c/c,0,18,18,18,0,0
isc,online,servizi_pagamento,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,0,18,0,0,0,0
isc,online,servizi_pagamento,bonifici,Accredito stipendio/pensione,0,0,0,0,0,0
isc,online,servizi_pagamento,bonifici,Bonifici vs Italia allo sportello,0,0,0,0,0,0
isc,online,servizi_pagamento,bonifici,Bonifici vs Italia online,4.5,2,4,5,1.5,3
isc,online,servizi_pagamento,bonifici,Pagamenti ricevuti tramite bonifico,0,0,0,0,0,0
isc,online,total,total,Totale,42.82,44.29,60.3,64.4,52.85,65.49
